"",rat,gtyp,age,sex,vessel_idx,frequency_empa,frequency_vehicle,frequency_change,frequency_vehicle_std,frequency_empa_std,frequency_change_std,log_frequency_vehicle,log_frequency_empa,log_frequency_vehicle_std,log_frequency_change
197,20240823a,fa/fa,Young,F,6.0,0.0365265448144586,0.0335668523306786,0.002959692483780002,1.7212730444734585,1.5447368635458802,0.12432210179866372,-3.3942162367390827,-3.3097160275249555,1.5379167246699292,0.08450020921412715
198,20240823a,fa/fa,Young,F,7.0,0.0367610989638381,0.0332088810897105,0.0035522178741276,1.628043252353719,1.5968558039401872,0.33923420128640086,-3.404937936130039,-3.303315086298478,1.4662229019568083,0.101622849831561
199,20240823a,fa/fa,Young,F,8.0,0.0367015554689605,0.0336677732036831,0.003033782265277396,1.7475568095751117,1.583624983387219,0.15119485822662324,-3.391214183912978,-3.304936141469339,1.557990841210794,0.0862780424436389
201,20240823a,fa/fa,Young,F,11.0,0.0331756063452391,0.0293147449773496,0.003860861367889497,0.6138570309702741,0.8001439292308755,0.4511808322969085,-3.5296646479949088,-3.405940421757143,0.6322007528585989,0.12372422623776558
202,20240823a,fa/fa,Young,F,12.0,0.0330982912587457,0.0290904866280448,0.0040078046307009015,0.5554513355008274,0.7829641846167209,0.5044779325238732,-3.537344078253143,-3.4082736215345126,0.5808499649474937,0.1290704567186305
203,20240823a,fa/fa,Young,F,13.0,0.0330650552608522,0.0296223757036044,0.003442679557247797,0.6939761728902124,0.7755790029955928,0.2995040731965626,-3.5192252672951994,-3.409278286577543,0.7020067679154129,0.1099469807176563
207,20240823a,fa/fa,Young,F,17.0,0.0377462938455376,0.0346714417840533,0.0030748520614842997,2.008951587691845,1.815770342232983,0.1660910909824572,-3.361838934223908,-3.276867984383859,1.754417160077579,0.08497094984004905
209,20240823a,fa/fa,Young,F,19.0,0.0326663287384665,0.0285812237140038,0.004085105024462698,0.42281924058187703,0.6869802555045544,0.532515195036507,-3.555005290252054,-3.4214104337740037,0.4627530331293187,0.13359485647805025
212,20240823a,fa/fa,Young,F,23.0,0.0328011519096474,0.0295320126373832,0.003269139272264198,0.6704420759713614,0.7169385437767424,0.23656009206244397,-3.5222804298636246,-3.4172916450121367,0.681577517331761,0.10498878485148788
213,20240823b,fa/fa,Young,F,0.0,0.0357950830006671,0.0266961566210136,0.009098926379653496,-0.06812638045727373,1.3822029037990013,2.3510547740212746,-3.623235670715782,-3.329944741358437,0.0065103590676545975,0.2932909293573447
217,20240823b,fa/fa,Young,F,7.0,0.0343917318194793,0.0263646457316537,0.0080270860878256,-0.15446485618752953,1.0703722380098937,1.9622926193781647,-3.635731343159821,-3.369939097577361,-0.07704566057227365,0.26579224558245995
222,20240823b,fa/fa,Young,F,13.0,0.0323490700967687,0.0261433117708172,0.006205758325951497,-0.2121089258675971,0.6164840213515055,1.3016873870352268,-3.6441618852066875,-3.431170003525077,-0.13341898021536902,0.21299188168161054
223,20240823b,fa/fa,Young,F,14.0,0.0327524245458632,0.0268113098576233,0.0059411146882398964,-0.03813594803593204,0.7061111140537595,1.2056997370151878,-3.6189314708735285,-3.4187782877063504,0.03529166780987078,0.20015318316717812
225,20240823b,fa/fa,Young,F,17.0,0.0308680011084057,0.025372193227789,0.0054958078806166995,-0.4129385267924449,0.28738412468135793,1.044184597746066,-3.674101459450861,-3.4780351944788603,-0.33361882258164766,0.19606626497200086
226,20240823b,fa/fa,Young,F,22.0,0.0299741865685879,0.02056253077887,0.0094116557897179,-1.6655638188862254,0.08877469121976213,2.464483388530224,-3.884284753612925,-3.5074187154313394,-1.7390717530774424,0.3768660381815856
231,20240823b,fa/fa,Young,F,28.0,0.0356737654176078,0.0223173656884583,0.0133563997291495,-1.208535781150759,1.3552456152710604,3.8952629226653532,-3.802390173145141,-3.3333397225920445,-1.1914593532954558,0.46905045055309635
232,20240823b,fa/fa,Young,F,29.0,0.0290188726541954,0.0201129375506043,0.008905935103591101,-1.78265558049338,-0.12350016767227358,2.281055815331833,-3.9063920117428212,-3.5398088794827554,-1.8868984909148097,0.3665831322600659
235,20240823b,fa/fa,Young,F,33.0,0.0313005516874372,0.0236925953064784,0.007607956380958802,-0.8503718932971284,0.38349872297648463,1.810272053293087,-3.74259271398463,-3.4641195557946465,-0.7916059084800888,0.2784731581899833
252,20240826a,fa/+,Young,M,26.0,0.0256582138850857,0.0252034454895802,0.00045476839550549764,-0.4568870755957962,-0.8702529944126837,-0.7842271412180274,-3.6807745680338844,-3.6628915291898227,-0.37824054216653047,0.017883038844061616
258,20241011a,fa/+,Adult,F,2.0,0.0308518453046805,0.0271981433179818,0.0036537019866986972,0.06261070132240744,0.28379423563610584,0.3760430267858612,-3.6046065683783466,-3.478558715032883,0.1310793766817102,0.12604785334546342
259,20241011a,fa/+,Adult,F,3.0,0.0292150226185258,0.026086034082256,0.0031289885362697986,-0.22702628901447536,-0.07991480230429227,0.1857266773126754,-3.646355200500513,-3.5330722287666987,-0.14808523339927457,0.11328297173381419
263,20241011a,fa/+,Adult,F,7.0,0.0304084753649864,0.0271502149998593,0.003258260365127101,0.050128281999767106,0.18527552888683216,0.23261425478516867,-3.6063703136700376,-3.4930339145251694,0.11928557071469596,0.11333639914486815
264,20241011a,fa/+,Adult,F,8.0,0.0293774762634084,0.0253198848155636,0.004057591447844799,-0.42656169491259666,-0.04381690398583218,0.5225358749741201,-3.676165230864866,-3.5275270117419217,-0.3474188421942913,0.14863821912294428
265,20241011a,fa/+,Adult,F,9.0,0.0314168492725171,0.02523749447549,0.006179354797027102,-0.44801938033157945,0.40934054637127915,1.2921106871545718,-3.679424514244047,-3.460410928951206,-0.3692130071151913,0.21901358529284076
267,20241011a,fa/+,Adult,F,11.0,0.0279342974192542,0.0209610647603963,0.006973232658857902,-1.5617698935701398,-0.3644974477143483,1.5800543952255528,-3.8650886211823257,-3.5779000469420144,-1.6107111205812716,0.2871885742403113
