"",rat,gtyp,age,sex,vessel_idx,power_empa,power_vehicle,power_ratio,power_change,power_vehicle_std,power_empa_std,power_change_std,log_power_vehicle,log_power_empa,log_power_vehicle_std,log_power_change
492,20241015a,fa/+,Adult,M,10,3.2870133102021475,7.957340988555511,0.41307935841000526,-4.670327678353363,-0.5459815810264643,-0.5976048437747579,0.33817268686056395,2.074094897386396,1.1899793440204451,-0.49962381594654925,-0.8841155533659508
493,20241015a,fa/+,Adult,M,11,1.3425571524918,17.089827787721312,0.07855884618430149,-15.747270635229512,-0.005593308172237755,-0.8360386477613138,-0.5222710722514378,2.8384834202903804,0.29457611818322577,0.41668986223195387,-2.5439073021071548
494,20241015a,fa/+,Adult,M,12,1.876135718123162,4.568936251355457,0.410628560984315,-2.6928005332322953,-0.7464805495915077,-0.770609984520593,0.49178464434001795,1.5192804100555772,0.6292141923826334,-1.1647098139170886,-0.8900662176729438
495,20241015a,fa/+,Adult,M,13,2.954798501965781,6.624843389337713,0.4460178646217285,-3.6700448873719322,-0.6248282404368545,-0.6383418077604794,0.4158734647916108,1.8908267322476213,1.0834304596890294,-0.7193172329190459,-0.8073962725585919
498,20241015a,fa/+,Adult,M,16,1.5286746005569605,44.6962501922211,0.03420140602360888,-43.16757559166414,1.6279362277494078,-0.8132164869455609,-2.652247760274917,3.7998896097835,0.42440108582628494,1.569179225064363,-3.375488523957215
499,20241015a,fa/+,Adult,M,17,1.589859546125342,11.589443944955798,0.1371816934165607,-9.999584398830457,-0.33106248104844227,-0.8057138444916636,-0.075797639040021,2.4500946790614453,0.46364567656008104,-0.04889263328558745,-1.9864490025013644
500,20241015a,fa/+,Adult,M,18,3.522923499467753,11.754118178726788,0.2997182303172451,-8.231194679259035,-0.3213183635119979,-0.5686769794962332,0.06156877187378631,2.464203662481142,1.2592911845243437,-0.031979435212510655,-1.2049124779567981
501,20241015a,fa/+,Adult,M,19,3.6034922372107614,16.459241976056777,0.21893427670926482,-12.855749738846015,-0.04290638457141799,-0.5587974506900494,-0.2976611668541485,2.800887141701038,1.2819034411440904,0.3716211788493916,-1.5189837005569475
502,20241015a,fa/+,Adult,M,20,1.5240701959045333,10.002695797016097,0.15236594482451207,-8.478625601111563,-0.42495367519701766,-0.8137810899128318,0.042348632043854556,2.3028546363655766,0.42138451650852315,-0.22539720008002953,-1.8814701198570534
503,20241015a,fa/+,Adult,M,21,1.828367496089753,5.180434229466824,0.35293711204551487,-3.3520667333770713,-0.7102969400761193,-0.7764674366641847,0.44057362973820297,1.6448888808404127,0.6034234900749024,-1.0141361770472332,-1.0414653907655103
504,20241015a,fa/+,Adult,M,22,2.632725355244594,51.23560105360947,0.05138468762159905,-48.602875698364876,2.0148832439658726,-0.6778351772716126,-3.074455410338537,3.9364346234917305,0.9680195663932767,1.7328630847756357,-2.9684150570984538
506,20241015a,fa/+,Adult,M,24,2.579315359888428,14.607196778136414,0.1765783948189885,-12.027881418247986,-0.15249575795475193,-0.6843844369775606,-0.2333533399926842,2.6815143372735464,0.9475239993338376,0.22852257097929732,-1.7339903379397088
507,20241015a,fa/+,Adult,M,25,1.7601783174772383,7.820881296133068,0.22506137746235008,-6.06070297865583,-0.554056185361958,-0.7848289547075873,0.23016998660055313,2.056797245922535,0.5654151206662962,-0.5203594420866228,-1.491382125256239
508,20241015b,fa/+,Adult,M,0,2.823175999426072,13.712910333422627,0.20587723034585256,-10.889734333996556,-0.20541255027247785,-0.6544816697194797,-0.14494342767226864,2.6183377491953927,1.0378624921477158,0.15278939333197583,-1.580475257047677
509,20241015b,fa/+,Adult,M,1,2.52725786291143,19.164747499752927,0.13187013619375948,-16.637489636841497,0.1171840146045523,-0.6907678501396552,-0.5914222258830862,2.953072523674134,0.927134866299116,0.5540539900995999,-2.025937657375018
510,20241015b,fa/+,Adult,M,2,2.49519653730495,53.2396363665991,0.04686727234805756,-50.74443982929415,2.1334661891527484,-0.6946992855669298,-3.240809565846067,3.974803163424681,0.9143674985680079,1.7788575194104383,-3.060435664856673
511,20241015b,fa/+,Adult,M,3,1.256391620123258,16.591088072755205,0.07572689715187647,-15.334696452631947,-0.03510477630805394,-0.8466044687358273,-0.4902228002716275,2.808865688112875,0.22824381890784942,0.3811854920096335,-2.5806218692050256
512,20241015b,fa/+,Adult,M,4,3.042302511071646,12.728961583936265,0.2390063392846578,-9.686659072864618,-0.2636348479888655,-0.6276118596089338,-0.05148997176723326,2.543879836888321,1.112614633689523,0.0635326849287866,-1.4312652031987978
513,20241015b,fa/+,Adult,M,5,2.6560620031049176,110.00444471661486,0.02414504259302671,-107.34838271350993,5.492358177473846,-0.6749735824243501,-7.637736550616873,4.700520771490775,0.976844575884222,2.6488142898752898,-3.7236761956065534
514,20241015b,fa/+,Adult,M,6,2.7628474389353115,17.016944519530604,0.1623586088421661,-14.254097080595292,-0.009905963014634641,-0.6618793002136447,-0.40628312581549914,2.834209584087258,1.0162618286858582,0.4115665846658053,-1.8179477554013999
515,20241015b,fa/+,Adult,M,7,2.640624000180152,32.59953253246974,0.08100189772813589,-29.958908532289584,0.9121482384412415,-0.6768666267847032,-1.6262142073647294,3.484297948775057,0.9710152529333284,1.1908625091062481,-2.5132826958417285
516,20241015b,fa/+,Adult,M,8,6.554187574694234,55.36351712121472,0.11838459540683224,-48.80932954652049,2.259140638837133,-0.19697622323176445,-3.090492499802817,4.013920841105204,1.880104169747191,1.825749985797906,-2.133816671358013
517,20241015b,fa/+,Adult,M,9,3.679926954289919,28.19305215726363,0.13052602228956706,-24.51312520297371,0.6514076130574542,-0.5494248452561065,-1.2031922330322482,3.3390755701861705,1.3028929026060987,1.0167766249107726,-2.036182667580072
518,20241015b,fa/+,Adult,M,10,3.3026221131765707,13.401927902282631,0.2464288822665629,-10.099305789106062,-0.22381402870298608,-0.5956908555091388,-0.08354387807426211,2.5953985699127684,1.1947167327115422,0.12529096404760795,-1.4006818372012262
519,20241015b,fa/+,Adult,M,11,4.547637621561687,49.72539702109428,0.09145502889866337,-45.17775939953259,1.9255213246184593,-0.4430241149866511,-2.8083964484899,3.9065158090438934,1.514607894077386,1.6969977910251677,-2.3919079149665077
520,20241015b,fa/+,Adult,M,12,5.191602481308803,118.21184733831454,0.04391778487693182,-113.02024485700574,5.978007291991556,-0.3640596237923755,-8.078320058441571,4.772478331237795,1.6470424127781904,2.7350736910421793,-3.125435918459605
521,20241015b,fa/+,Adult,M,13,1.3760493622031265,25.96201171062283,0.053002416667121785,-24.585962348419702,0.5193923011121611,-0.831931753947472,-1.2088501358917758,3.2566343815385244,0.3192166125618389,0.9179499333270981,-2.9374177689766854
522,20241015b,fa/+,Adult,M,14,3.72621403971026,17.922705547469914,0.20790466204117697,-14.196491507759653,0.04368980430161288,-0.5437490135802623,-0.40180839340697583,2.886068375362061,1.3153927154329528,0.473732509918551,-1.570675659929108
523,20241015b,fa/+,Adult,M,15,3.0748597011771257,55.79588228472066,0.05510907929525036,-52.72102258354354,2.2847245864614156,-0.6236196201062939,-3.394348164165429,4.021700072483707,1.1232592745841452,1.8350753692962833,-2.898440797899562
524,20241015b,fa/+,Adult,M,16,2.782370041775447,25.301951036313564,0.109966620272965,-22.519580994538117,0.4803351356748608,-0.6594853925698881,-1.0483360891177875,3.230881508820009,1.0233030975154394,0.8870785782278408,-2.2075784113045698
525,20241015b,fa/+,Adult,M,17,1.405998453017204,24.979139741981395,0.0562869044947213,-23.57314128896419,0.4612337187620072,-0.8282593257364148,-1.1301754001728634,3.2180410662333934,0.340747693115609,0.8716860483514346,-2.8772933731177845
526,20241015b,fa/+,Adult,M,18,3.3686342854653635,77.40959935499413,0.04351700969303666,-74.04096506952877,3.5636532610292093,-0.5875962871200183,-5.050455948425991,4.349110795579848,1.2145074056871794,2.227560231334162,-3.1346033898926686
527,20241015b,fa/+,Adult,M,19,2.6511138998052126,42.16254763342888,0.06287840864965327,-39.51143373362367,1.478011767984831,-0.6755803305310579,-2.368243007661632,3.741532330145301,0.9749798912293476,1.4992232119224882,-2.7665524389159537
528,20241021a,fa/fa,Adult,M,0,3.635809803483498,8.18515598360779,0.4441955426096759,-4.549346180124292,-0.5325012930814721,-0.5548345944274171,0.347570385803719,2.102322267893532,1.2908318656740894,-0.4657861471175655,-0.8114904022194425
529,20241021a,fa/fa,Adult,M,1,5.738921625697198,7.750266020043974,0.7404805990987954,-2.011344394346776,-0.5582346383859904,-0.2969460583495533,0.5447193470007932,2.047727167943125,1.7472713225940835,-0.5312322329065384,-0.30045584534904135
530,20241021a,fa/fa,Adult,M,2,5.595547547980922,9.637052685366667,0.580628510672921,-4.041505137385745,-0.44658953998724427,-0.3145269261965352,0.38701887421306486,2.26561532384255,1.7219712007790995,-0.27003796901933436,-0.5436441230634506
531,20241021a,fa/fa,Adult,M,3,5.801711998175627,9.750200132044348,0.5950351705200504,-3.9484881338687217,-0.4398943698071348,-0.2892465546583034,0.39424432445498736,2.2772878111626156,1.7581530460969061,-0.256045530005327,-0.5191347650657094
532,20241021a,fa/fa,Adult,M,4,4.58329229212519,12.394137792624006,0.3697951700079369,-7.810845500498816,-0.2834470693779249,-0.43865205511858296,0.09422099631153734,2.5172236021660286,1.5224175809589662,0.03157842115729708,-0.9948060212070624
533,20241021a,fa/fa,Adult,M,5,3.3090708860710483,15.927142788418148,0.2077629949093775,-12.6180719023471,-0.07439180221488403,-0.5949000917543591,-0.27919863509868953,2.768024747409224,1.1966674509134223,0.3322272574533913,-1.5713572964958016
534,20241021a,fa/fa,Adult,M,6,3.502597799348594,12.228135232594871,0.28643760742947927,-8.725537433246277,-0.2932697867468368,-0.5711693648240709,0.023168814486038077,2.5037394632244574,1.2535049215654155,0.015414257802671343,-1.250234541659042
