"",rat,gtyp,age,sex,vessel_idx,treatment,bfi_baseline,bfi_change,bfi_injected,log_bfi_baseline,log_bfi_injected,log_bfi_baseline_std,log_bfi_change
245,20240816b,fa/+,Young,F,24,Empa,52.25120162963867,-6.632526397705078,45.618675231933594,3.9560628882769113,3.8203171772398044,-0.694846593674734,-0.13574571103710698
246,20240816b,fa/+,Young,F,25,Empa,47.4069709777832,-6.137866973876953,41.26910400390625,3.8587692849295734,3.720114132937735,-1.163100741413757,-0.1386551519918382
247,20240816b,fa/+,Young,F,26,Empa,51.05611038208008,-5.494758605957031,45.56135177612305,3.9329252315141225,3.8190598083785794,-0.8062033877021817,-0.11386542313554315
248,20240816b,fa/+,Young,F,27,Empa,57.59392166137695,-6.950859069824219,50.643062591552734,4.053417035421305,3.9248022537235037,-0.22630106106439704,-0.12861478169780094
249,20240816b,fa/+,Young,F,28,Empa,48.84089660644531,-5.666240692138672,43.17465591430664,3.888568007109323,3.7652536544423665,-1.0196856064209956,-0.12331435266695667
250,20240816b,fa/+,Young,F,29,Empa,53.47883224487305,-6.1005401611328125,47.378292083740234,3.9792859166339607,3.8581641508825326,-0.5830789236828213,-0.12112176575142808
251,20240816b,fa/+,Young,F,2,Empa,53.93782424926758,-7.881526947021484,46.056297302246094,3.9878319803994837,3.8298645025864344,-0.5419484724776977,-0.15796747781304932
252,20240816b,fa/+,Young,F,3,Empa,52.7007064819336,-6.564872741699219,46.13583374023438,3.964628861186751,3.83158995261827,-0.6536203238434778,-0.13303890856848088
253,20240816b,fa/+,Young,F,4,Empa,51.2725715637207,-6.309226989746094,44.96334457397461,3.9371559418172892,3.805847592809176,-0.7858418471775936,-0.13130834900811328
254,20240816b,fa/+,Young,F,5,Empa,54.16944885253906,-7.173542022705078,46.995906829833984,3.992117075214117,3.8500605091906785,-0.5213251904594155,-0.14205656602343852
255,20240816b,fa/+,Young,F,6,Empa,62.13365936279297,-8.77279281616211,53.36086654663086,4.129287860824866,3.9770776411050206,0.1388496525007102,-0.1522102197198456
256,20240816b,fa/+,Young,F,7,Empa,55.664459228515625,-6.632804870605469,49.031654357910156,4.019341868384818,3.8924660968420186,-0.39029784760310227,-0.1268757715427995
257,20240816b,fa/+,Young,F,8,Empa,58.17847442626953,-7.175262451171875,51.003211975097656,4.063515431105345,3.9318886106450504,-0.1776995548823246,-0.1316268204602946
258,20240816b,fa/+,Young,F,9,Empa,52.33860778808594,-7.075828552246094,45.262779235839844,3.957734297361259,3.8124850443263028,-0.6868024447339197,-0.14524925303495628
289,20240820a,fa/+,Young,M,0,Empa,79.6722412109375,0.93743896484375,80.60968017578125,4.377921234174428,4.389618743737475,1.3354710575240742,0.011697509563046715
290,20240820a,fa/+,Young,M,10,Empa,65.19295501708984,-1.6790885925292969,63.51386642456055,4.1773514112094565,4.151258250950347,0.3701696576021938,-0.02609316025910946
291,20240820a,fa/+,Young,M,11,Empa,74.61415100097656,-1.4090423583984375,73.20510864257812,4.3123301809226176,4.2932652087311975,1.0197947778607026,-0.019064972191420004
292,20240820a,fa/+,Young,M,12,Empa,63.58647155761719,-0.9866943359375,62.59977722167969,4.152400736361587,4.13676171934061,0.25008717957233334,-0.01563901702097681
293,20240820a,fa/+,Young,M,13,Empa,65.88311767578125,-1.1248931884765625,64.75822448730469,4.187882227744379,4.1706607116223555,0.42085231660447303,-0.017221516122023495
294,20240820a,fa/+,Young,M,14,Empa,71.90522003173828,-0.71331787109375,71.19190216064453,4.2753488633675705,4.26537907825095,0.8418112852339128,-0.0099697851166205
295,20240820a,fa/+,Young,M,15,Empa,89.5833511352539,-1.3254165649414062,88.2579345703125,4.495169489492857,4.480263601916915,1.8997628503978383,-0.014905887575941357
