,rat,gtyp,age,sex,vessel_idx,power_empa,power_vehicle,power_ratio,power_change
138,20240816b,fa/+,Young,F,17,6.0526301827229245,16.862545477825662,0.3589392948224908,-10.809915295102737
139,20240816b,fa/+,Young,F,18,3.613180127688604,3.0432387918665804,1.1872811746962677,0.5699413358220236
140,20240816b,fa/+,Young,F,19,8.252815163004938,11.127592949245289,0.7416532219184627,-2.874777786240351
141,20240816b,fa/+,Young,F,20,6.402134517735348,10.338430880118112,0.6192559191982726,-3.9362963623827643
142,20240816b,fa/+,Young,F,21,6.882174370994035,14.605527341538584,0.4712034156699643,-7.72335297054455
143,20240816b,fa/+,Young,F,22,3.9263857481811706,7.636563339786257,0.5141561162368449,-3.710177591605086
144,20240816b,fa/+,Young,F,23,4.395998851794032,6.715137448518177,0.6546401894966563,-2.3191385967241445
145,20240816b,fa/+,Young,F,24,3.059968085729274,3.861069632267608,0.7925182338481042,-0.8011015465383342
146,20240816b,fa/+,Young,F,25,2.026958450651691,3.973708807903788,0.5100923466309432,-1.946750357252097
147,20240816b,fa/+,Young,F,26,2.634277504934392,5.197140862285227,0.5068705226080937,-2.5628633573508353
148,20240816b,fa/+,Young,F,27,3.3762343142513944,5.824932695471724,0.5796177382231495,-2.44869838122033
149,20240816b,fa/+,Young,F,28,4.294854410377467,7.465725884921311,0.5752761990701906,-3.170871474543844
150,20240816b,fa/+,Young,F,29,2.7699580095556797,4.211444572780444,0.6577215873761154,-1.441486563224764
151,20240820a,fa/+,Young,M,0,10.561732432563897,23.638224887309093,0.4468073420451418,-13.076492454745196
152,20240820a,fa/+,Young,M,1,11.495388592560277,21.555462831831235,0.5332935173901664,-10.060074239270959
153,20240820a,fa/+,Young,M,2,13.402459778761498,21.819999942671775,0.6142282224552755,-8.417540163910276
154,20240820a,fa/+,Young,M,3,6.255637502912337,6.528917156370346,0.9581431886922678,-0.2732796534580091
156,20240820a,fa/+,Young,M,5,3.1845701285425174,4.152585611505022,0.7668884946572682,-0.9680154829625045
157,20240820a,fa/+,Young,M,6,3.2963272327093898,5.175271648471638,0.6369380114921817,-1.878944415762248
158,20240820a,fa/+,Young,M,7,14.48408399862686,14.965760225630072,0.9678147838972923,-0.4816762270032129
159,20240820a,fa/+,Young,M,8,17.321291347445566,22.01517202086368,0.786788825952859,-4.693880673418114
160,20240820a,fa/+,Young,M,9,9.053831168237672,14.3040124602237,0.6329574441727017,-5.250181291986028
161,20240820a,fa/+,Young,M,10,6.637540768850878,4.333387983720854,1.5317208599336096,2.3041527851300234
