,rat,gtyp,age,sex,vessel_idx,frequency_empa,frequency_vehicle,frequency_change
504,20241029c,fa/+,Adult,F,12.0,0.032658731824116,0.0301112377742934,0.0025474940498226017
505,20241029c,fa/+,Adult,F,13.0,0.0323519956197583,0.0300404853873334,0.0023115102324249015
506,20241029c,fa/+,Adult,F,14.0,0.0328345619161646,0.0304368686757971,0.0023976932403674996
507,20241029c,fa/+,Adult,F,15.0,0.0355045751053912,0.0328995398248806,0.0026050352805105995
508,20241029c,fa/+,Adult,F,16.0,0.0343139014610391,0.0311925151412202,0.0031213863198188974
509,20241029c,fa/+,Adult,F,17.0,0.032602889343755,0.0298262102961664,0.0027766790475886004
511,20241029c,fa/+,Adult,F,19.0,0.0343413553891436,0.0314608662305537,0.002880489158589905
512,20241029c,fa/+,Adult,F,20.0,0.03268760911377,0.0292082738875687,0.003479335226201301
516,20241030a,fa/fa,Adult,F,4.0,0.0184961731970435,0.019546576926736,-0.0010504037296924992
519,20241030a,fa/fa,Adult,F,7.0,0.0167705479961598,0.0156927122459407,0.0010778357502191013
522,20241030a,fa/fa,Adult,F,10.0,0.0173754808830898,0.017542397184007,-0.000166916300917197
525,20241030a,fa/fa,Adult,F,14.0,0.0157076487503992,0.0157759523250134,-6.830357461420217e-05
526,20241030a,fa/fa,Adult,F,15.0,0.016187143444602,0.0157027630102247,0.00048438043437729755
527,20241030a,fa/fa,Adult,F,16.0,0.0160673275756054,0.0156341322751715,0.0004331953004339008
532,20241030b,fa/fa,Adult,F,1.0,0.0231421147951968,0.0216741405029627,0.0014679742922340984
537,20241030b,fa/fa,Adult,F,11.0,0.0243493029239074,0.0250054546500221,-0.0006561517261146968
