,rat,gtyp,age,sex,vessel_idx,treatment,bfi_baseline,bfi_change
505,20240822b,fa/+,Young,M,29,Empa,55.049312591552734,-8.870033264160156
506,20240822b,fa/+,Young,M,2,Empa,57.36064529418945,-10.53335952758789
507,20240822b,fa/+,Young,M,30,Empa,56.67595672607422,-8.510330200195312
508,20240822b,fa/+,Young,M,31,Empa,57.914920806884766,-9.46072769165039
509,20240822b,fa/+,Young,M,32,Empa,48.66461944580078,-7.98907470703125
510,20240822b,fa/+,Young,M,33,Empa,72.56925964355469,-12.012115478515623
511,20240822b,fa/+,Young,M,3,Empa,58.64799880981445,-9.012786865234377
512,20240822b,fa/+,Young,M,4,Empa,70.02644348144531,-11.067768096923828
513,20240822b,fa/+,Young,M,5,Empa,56.858158111572266,-9.120231628417969
514,20240822b,fa/+,Young,M,6,Empa,59.18191146850586,-9.343006134033203
515,20240822b,fa/+,Young,M,7,Empa,56.39574813842773,-9.71990203857422
516,20240822b,fa/+,Young,M,8,Empa,59.04576873779297,-10.441631317138672
517,20240822b,fa/+,Young,M,9,Empa,60.995304107666016,-11.720111846923828
550,20240823a,fa/fa,Young,F,0,Empa,57.117767333984375,-3.916816711425781
551,20240823a,fa/fa,Young,F,10,Empa,68.23697662353516,-5.108577728271484
552,20240823a,fa/fa,Young,F,11,Empa,63.67802429199219,-4.986934661865234
553,20240823a,fa/fa,Young,F,12,Empa,53.76068878173828,-3.5395278930664062
554,20240823a,fa/fa,Young,F,13,Empa,63.96904373168945,-4.457126617431641
555,20240823a,fa/fa,Young,F,14,Empa,61.06026077270508,-6.729904174804688
556,20240823a,fa/fa,Young,F,15,Empa,51.06269073486328,-2.8851318359375
557,20240823a,fa/fa,Young,F,16,Empa,47.87676239013672,-3.4478836059570312
558,20240823a,fa/fa,Young,F,17,Empa,55.868900299072266,-4.248622894287109
559,20240823a,fa/fa,Young,F,18,Empa,56.68811798095703,-4.399688720703125
560,20240823a,fa/fa,Young,F,19,Empa,55.22193145751953,-4.856597900390625
561,20240823a,fa/fa,Young,F,1,Empa,55.495849609375,-3.7986984252929688
562,20240823a,fa/fa,Young,F,20,Empa,55.78800582885742,-4.320629119873047
563,20240823a,fa/fa,Young,F,21,Empa,62.82167434692383,-4.556354522705078
564,20240823a,fa/fa,Young,F,22,Empa,68.5140380859375,-6.124183654785156
565,20240823a,fa/fa,Young,F,23,Empa,59.53971481323242,-3.688175201416016
566,20240823a,fa/fa,Young,F,2,Empa,60.63984298706055,-4.482036590576172
567,20240823a,fa/fa,Young,F,3,Empa,55.85297775268555,-5.308063507080078
568,20240823a,fa/fa,Young,F,4,Empa,55.35292053222656,-3.3826560974121094
569,20240823a,fa/fa,Young,F,5,Empa,60.533599853515625,-2.952289581298828
570,20240823a,fa/fa,Young,F,6,Empa,56.90662384033203,-3.4150390625
571,20240823a,fa/fa,Young,F,7,Empa,61.07365036010742,-2.572494506835937
572,20240823a,fa/fa,Young,F,8,Empa,69.49120330810547,-5.5291900634765625
573,20240823a,fa/fa,Young,F,9,Empa,69.63821411132812,-5.544242858886719
598,20240823b,fa/fa,Young,F,0,Empa,60.26063919067383,-7.816509246826172
599,20240823b,fa/fa,Young,F,10,Empa,45.52985763549805,-5.884143829345703
600,20240823b,fa/fa,Young,F,12,Empa,47.61310195922852,-5.536407470703125
601,20240823b,fa/fa,Young,F,13,Empa,46.60777282714844,-5.638175964355469
602,20240823b,fa/fa,Young,F,14,Empa,47.94793701171875,-5.355674743652344
603,20240823b,fa/fa,Young,F,15,Empa,47.836856842041016,-5.652172088623047
604,20240823b,fa/fa,Young,F,16,Empa,48.54653549194336,-4.794105529785156
605,20240823b,fa/fa,Young,F,17,Empa,48.12309646606445,-5.611061096191406
606,20240823b,fa/fa,Young,F,1,Empa,53.32221603393555,-5.226470947265625
607,20240823b,fa/fa,Young,F,20,Empa,54.96003723144531,-5.340202331542969
608,20240823b,fa/fa,Young,F,21,Empa,55.30873107910156,-8.1552734375
609,20240823b,fa/fa,Young,F,22,Empa,52.69762420654297,-3.5303497314453125
610,20240823b,fa/fa,Young,F,23,Empa,54.3305892944336,-4.654953002929688
611,20240823b,fa/fa,Young,F,24,Empa,54.7041130065918,-3.3951377868652344
612,20240823b,fa/fa,Young,F,25,Empa,60.28290557861328,-4.853023529052734
613,20240823b,fa/fa,Young,F,26,Empa,53.32450866699219,-4.383445739746094
614,20240823b,fa/fa,Young,F,27,Empa,56.53689193725586,-6.969757080078125
615,20240823b,fa/fa,Young,F,28,Empa,62.715110778808594,-6.354316711425781
616,20240823b,fa/fa,Young,F,29,Empa,52.06563568115234,-4.249011993408203
617,20240823b,fa/fa,Young,F,2,Empa,60.34976196289063,-6.465480804443359
618,20240823b,fa/fa,Young,F,30,Empa,47.3198127746582,-5.544166564941406
619,20240823b,fa/fa,Young,F,31,Empa,48.69505310058594,-4.673561096191406
620,20240823b,fa/fa,Young,F,33,Empa,52.13958740234375,-6.29241943359375
621,20240823b,fa/fa,Young,F,3,Empa,52.87971496582031,-5.722007751464844
622,20240823b,fa/fa,Young,F,4,Empa,53.73484802246094,-6.5689697265625
623,20240823b,fa/fa,Young,F,5,Empa,50.97267150878906,-6.310100555419922
624,20240823b,fa/fa,Young,F,6,Empa,49.307891845703125,-5.181358337402344
625,20240823b,fa/fa,Young,F,7,Empa,59.3831901550293,-8.016075134277344
626,20240823b,fa/fa,Young,F,8,Empa,49.118408203125,-6.553718566894531
