,rat,gtyp,age,sex,vessel_idx,treatment,bfi_baseline,bfi_change
474,20240821b,fa/+,Young,M,25,Vehicle,58.32867050170898,3.172840118408203
475,20240821b,fa/+,Young,M,26,Vehicle,50.20649719238281,1.6532554626464844
476,20240821b,fa/+,Young,M,27,Vehicle,65.45050048828125,0.7911605834960938
477,20240821b,fa/+,Young,M,28,Vehicle,53.37195587158203,1.5692787170410156
478,20240821b,fa/+,Young,M,2,Vehicle,57.939823150634766,2.899982452392578
479,20240821b,fa/+,Young,M,3,Vehicle,54.56350326538086,2.3523521423339844
480,20240821b,fa/+,Young,M,4,Vehicle,55.19341278076172,1.9816551208496092
481,20240821b,fa/+,Young,M,5,Vehicle,52.16034698486328,3.0369796752929688
482,20240821b,fa/+,Young,M,6,Vehicle,57.04583740234375,2.7466392517089844
483,20240821b,fa/+,Young,M,7,Vehicle,60.75300216674805,2.306598663330078
484,20240821b,fa/+,Young,M,8,Vehicle,57.43269348144531,1.8674430847167969
485,20240821b,fa/+,Young,M,9,Vehicle,52.50504684448242,3.8840599060058594
518,20240822b,fa/+,Young,M,0,Vehicle,52.4375,1.5026969909667969
519,20240822b,fa/+,Young,M,10,Vehicle,56.15335464477539,-0.6073265075683594
520,20240822b,fa/+,Young,M,11,Vehicle,55.19818115234375,0.7847938537597656
521,20240822b,fa/+,Young,M,12,Vehicle,56.06972503662109,-1.2344932556152344
522,20240822b,fa/+,Young,M,13,Vehicle,57.99098205566406,-0.9152908325195312
523,20240822b,fa/+,Young,M,15,Vehicle,69.23583221435547,-1.281585693359375
524,20240822b,fa/+,Young,M,16,Vehicle,56.959259033203125,-0.0026473999023437
525,20240822b,fa/+,Young,M,17,Vehicle,47.66936492919922,0.2625236511230469
526,20240822b,fa/+,Young,M,18,Vehicle,55.55760192871094,0.9994659423828124
527,20240822b,fa/+,Young,M,19,Vehicle,50.23991775512695,1.4991378784179688
528,20240822b,fa/+,Young,M,1,Vehicle,56.64629364013672,0.9027099609375
